,experiment,hour,date,device_make,browser,aware
0,1,2,2,4,2,0
1,1,16,1,13,1,1
2,1,8,3,13,1,0
3,0,4,5,43,4,1
4,0,15,0,13,1,0
5,1,2,7,13,1,0
6,0,15,0,13,1,1
7,1,6,2,19,2,0
8,0,15,0,13,1,0
9,1,14,0,13,1,0
10,0,15,0,24,4,0
11,1,13,6,65,4,1
12,1,20,6,25,2,0
13,1,6,2,13,1,1
14,1,20,5,13,1,0
15,0,2,3,87,2,0
16,0,16,1,13,1,1
17,0,15,0,42,7,0
18,1,8,6,13,1,0
19,0,20,6,64,4,1
20,1,11,1,76,2,1
21,1,19,2,13,1,0
22,1,5,7,13,1,0
23,1,2,2,13,2,1
24,0,15,4,13,1,1
25,0,15,0,72,4,0
26,0,15,0,5,4,1
27,1,1,6,13,1,1
28,0,18,5,13,1,1
29,1,0,2,13,2,0
30,1,20,6,66,7,0
31,0,19,1,13,1,1
32,0,22,5,13,1,0
33,1,20,5,13,2,1
34,1,6,5,13,1,1
35,0,15,0,13,1,1
36,0,19,2,13,1,0
37,1,6,2,68,4,0
38,1,3,4,94,7,0
39,1,15,7,13,1,1
40,1,20,5,13,1,1
41,1,20,5,13,1,1
42,1,19,6,103,4,0
43,0,15,0,13,1,0
44,1,21,5,13,1,1
45,1,21,2,13,1,1
46,0,10,2,68,4,1
47,1,5,1,68,2,0
48,0,15,0,13,1,0
49,0,14,5,13,1,1
50,1,22,5,13,1,0
51,0,8,3,54,4,0
52,0,15,0,43,2,1
53,1,21,5,47,2,1
54,0,15,0,21,1,1
55,1,21,5,13,2,0
56,1,0,1,46,2,1
57,1,3,2,13,1,1
58,1,16,7,13,1,0
59,1,2,7,66,4,0
60,0,15,0,66,2,1
61,0,15,0,1,4,0
62,1,16,5,13,1,1
63,0,2,6,13,1,0
64,0,15,0,13,1,1
65,1,0,6,54,7,0
66,1,14,6,13,1,0
67,0,15,0,33,4,0
68,1,8,6,13,1,0
69,0,15,0,72,7,0
70,1,6,6,48,7,1
71,0,15,0,13,1,0
72,0,15,0,68,7,1
73,0,15,0,13,1,0
74,0,0,2,13,1,1
75,0,12,6,13,1,1
76,0,15,2,13,1,0
77,1,14,6,13,2,1
78,0,12,7,13,1,0
79,0,21,1,54,4,0
80,0,22,5,66,4,1
81,1,10,0,13,1,0
82,0,3,4,13,1,1
83,0,13,7,72,7,1
84,1,8,0,44,2,1
85,0,2,7,51,7,0
86,0,9,7,13,1,0
87,0,15,0,64,4,1
88,1,17,5,13,1,0
89,1,9,0,13,2,1
90,0,15,0,13,1,0
91,1,15,5,13,2,1
92,0,15,6,13,1,0
93,1,0,0,13,1,0
94,1,17,7,13,1,1
95,0,15,0,13,1,1
96,0,15,0,13,1,0
97,0,10,2,13,1,0
98,1,16,6,13,1,0
99,1,12,7,13,1,0
100,1,19,6,13,1,1
101,0,15,0,56,2,1
102,1,9,1,13,1,1
103,0,15,0,81,7,0
104,1,11,2,13,2,0
105,0,5,7,13,1,1
106,0,15,0,29,4,1
107,0,15,0,13,1,0
108,0,15,0,40,4,0
109,1,10,1,13,1,0
110,0,15,0,81,7,1
111,1,6,6,19,2,0
112,1,5,7,25,2,0
113,1,19,6,14,1,0
114,1,16,1,88,2,1
115,0,15,0,13,1,1
116,1,1,0,13,1,0
117,0,19,0,114,5,0
118,0,8,4,13,2,0
119,1,15,7,61,2,1
120,1,12,0,104,4,0
121,0,15,0,111,2,0
122,1,19,2,13,1,0
123,0,14,6,13,1,0
124,0,15,0,13,1,1
125,1,9,1,13,1,0
126,1,0,3,33,2,1
127,1,7,3,76,4,0
128,1,17,5,13,1,1
129,0,8,3,51,2,0
130,0,10,6,13,1,0
131,1,3,3,13,1,0
132,0,3,3,26,1,1
133,1,20,5,13,1,0
134,0,16,4,33,4,0
135,1,5,5,6,4,0
136,0,15,0,18,0,0
137,0,15,0,43,7,0
138,1,23,4,13,1,1
139,0,20,5,13,1,0
140,1,17,5,67,2,0
141,1,8,2,13,1,0
142,1,7,5,58,7,0
143,0,16,5,13,1,1
144,0,15,0,13,1,1
145,1,22,2,51,2,0
146,1,16,1,13,1,1
147,1,2,6,66,2,1
148,0,15,0,66,4,1
149,1,16,1,61,2,0
150,1,13,6,13,1,0
151,1,20,4,47,2,1
152,0,4,2,13,1,1
153,1,8,6,13,1,1
154,1,14,1,68,2,1
155,1,8,1,27,2,1
156,1,16,5,13,1,0
157,0,15,0,13,1,0
158,1,0,7,13,1,1
159,1,8,0,114,5,0
160,0,15,0,13,1,0
161,0,4,2,68,4,0
162,0,15,1,64,7,0
163,1,1,3,48,2,1
164,0,3,1,86,7,1
165,1,6,0,27,2,1
166,0,15,0,73,7,1
167,1,16,1,13,1,1
168,0,15,0,103,4,0
169,0,15,0,13,1,1
170,0,15,7,13,4,1
171,1,13,2,69,7,1
172,1,7,0,22,2,0
173,0,16,7,13,1,1
174,1,9,6,13,2,0
175,1,13,6,27,2,1
176,0,15,0,13,1,0
177,1,5,6,13,1,1
178,1,7,2,13,1,0
179,1,2,1,13,1,0
180,1,6,1,13,1,1
181,0,15,0,64,2,1
182,1,22,6,13,1,1
183,1,2,0,26,1,0
184,1,18,5,66,2,0
185,0,15,0,13,1,1
186,0,15,0,13,1,1
187,1,4,2,23,2,0
188,0,7,7,66,4,0
189,0,20,4,13,1,1
190,1,18,5,62,2,1
191,0,15,6,46,7,0
192,1,2,7,27,2,0
193,0,15,0,2,1,0
194,1,9,7,13,1,0
195,0,6,6,13,1,1
196,0,22,6,13,1,1
197,0,15,0,83,7,0
198,1,11,7,41,7,1
199,0,9,7,66,2,0
200,1,20,5,13,1,1
201,0,5,2,13,1,0
202,0,18,6,13,1,0
203,0,15,0,71,7,0
204,1,16,2,13,2,0
205,1,6,6,13,1,0
206,0,9,7,13,1,1
207,0,8,3,13,1,1
208,0,15,0,13,1,0
209,1,7,6,77,4,1
210,1,3,6,13,1,1
211,0,15,0,65,7,1
212,1,10,0,13,1,1
213,1,14,1,13,1,1
214,0,15,0,72,4,0
215,1,15,5,104,4,0
216,0,15,0,54,4,0
217,1,8,3,13,1,1
218,1,17,5,21,2,1
219,1,1,7,13,1,0
220,0,15,0,54,4,1
221,0,15,0,36,4,1
222,1,8,2,90,2,1
223,0,3,1,13,1,0
224,0,19,5,13,1,0
225,1,15,5,13,1,1
226,1,11,4,13,1,0
227,1,9,6,13,1,1
228,1,14,6,13,1,1
229,0,9,1,13,1,0
230,0,6,1,13,1,0
231,0,2,1,13,1,1
232,0,3,7,13,1,0
233,1,13,6,13,4,0
234,1,12,2,13,1,0
235,1,19,5,68,7,1
236,0,6,4,13,1,0
237,0,15,0,13,4,1
238,1,20,4,94,2,0
239,0,6,7,13,1,1
240,1,15,2,66,2,1
241,1,19,1,13,1,1
242,1,9,0,13,1,1
243,1,11,6,13,1,0
244,0,2,3,13,4,0
245,1,1,7,17,1,0
246,0,8,2,60,7,0
247,1,3,3,13,1,0
248,0,3,4,82,4,0
249,0,18,5,13,1,0
250,1,16,5,42,2,0
251,0,18,5,13,1,0
252,1,15,5,13,2,0
253,0,15,0,55,4,1
254,0,0,7,26,1,1
255,1,4,6,73,2,0
256,1,0,0,13,1,0
257,0,5,2,13,1,0
258,1,6,7,5,2,1
259,1,1,3,13,1,0
260,1,7,0,13,1,0
261,0,14,1,13,1,0
262,1,3,3,71,7,1
263,1,7,0,13,1,0
264,1,1,0,81,7,0
265,1,10,6,13,1,1
266,1,7,1,13,1,0
267,0,10,6,19,4,0
268,0,15,0,33,4,1
269,0,8,6,13,1,0
270,0,10,7,12,4,0
271,1,10,0,72,7,0
272,0,10,2,13,1,1
273,1,8,7,73,2,1
274,0,15,0,13,1,1
275,0,15,0,66,4,1
276,0,18,2,79,1,0
277,0,20,1,71,4,1
278,1,17,2,13,1,0
279,1,14,1,13,1,1
280,0,10,4,13,1,0
281,1,8,6,13,1,0
282,1,6,6,68,7,1
283,0,7,5,13,1,0
284,1,21,6,113,2,1
285,1,13,5,13,1,1
286,0,8,1,13,1,1
287,1,5,6,13,1,0
288,1,19,5,13,1,0
289,0,14,6,13,1,0
290,0,5,2,13,1,0
